Instance,spt,spt_time
0,14335.0,0.14317631721496582
1,16609.5,0.14220380783081055
2,15815.75,0.14111852645874023
3,14910.25,0.14032673835754395
4,16679.25,0.13946318626403809
5,13743.25,0.14149928092956543
6,13161.25,0.13996100425720215
7,13410.75,0.14157390594482422
8,12421.5,0.14137768745422363
9,14185.25,0.17430949211120605
10,16036.25,0.140089750289917
11,15182.5,0.1395862102508545
12,12752.75,0.14072632789611816
13,11994.0,0.14122676849365234
14,13159.25,0.14181923866271973
15,13837.5,0.14213800430297852
16,15049.5,0.14265990257263184
17,15781.0,0.13952326774597168
18,15443.75,0.14155220985412598
19,15236.0,0.13750720024108887
20,14440.25,0.141312837600708
21,17476.25,0.16815590858459473
22,13499.25,0.13996338844299316
23,12443.25,0.14455580711364746
24,14916.5,0.14388823509216309
25,14140.0,0.14347600936889648
26,14642.0,0.1410071849822998
27,15147.0,0.14516663551330566
28,13232.0,0.14339542388916016
29,14886.0,0.14351487159729004
30,14078.0,0.13992643356323242
31,14360.75,0.14014649391174316
32,15174.25,0.1415853500366211
33,15047.0,0.17003917694091797
34,14833.75,0.13991546630859375
35,12497.25,0.1420760154724121
36,15358.25,0.13914084434509277
37,15048.25,0.14083051681518555
38,15624.5,0.14002442359924316
39,13041.75,0.14332032203674316
40,12967.75,0.14272212982177734
41,15097.25,0.14158058166503906
42,12541.25,0.1416928768157959
43,13247.75,0.1411759853363037
44,13793.75,0.1409318447113037
45,13545.75,0.1738598346710205
46,15249.5,0.13993263244628906
47,14225.0,0.14158415794372559
48,12945.25,0.13952994346618652
49,14632.25,0.14024591445922852
Average,14357.52,0.14373072147369384
