Instance,Makespan,Time
0,718.25,1.69468092918396
1,822.5,0.5039560794830322
2,687.0,0.5922503471374512
3,844.5,0.6973466873168945
4,773.25,0.7061684131622314
5,765.5,0.6914002895355225
6,751.25,0.7412612438201904
7,698.75,0.7461607456207275
8,619.75,0.7315585613250732
9,782.75,0.7194361686706543
10,751.75,0.727496862411499
11,654.25,0.7364466190338135
12,586.25,0.7281491756439209
13,744.0,0.7273299694061279
14,633.0,0.7202508449554443
15,709.75,0.7242286205291748
16,748.25,0.7054338455200195
17,721.75,0.6988120079040527
18,686.0,0.7011771202087402
19,787.5,0.6955695152282715
20,731.75,0.7004573345184326
21,794.25,0.6977324485778809
22,753.5,0.6945922374725342
23,731.25,0.7083485126495361
24,642.75,0.7140953540802002
25,859.5,0.7042760848999023
26,741.0,0.6948051452636719
27,671.5,0.6834995746612549
28,716.75,0.6998145580291748
29,765.75,0.7040996551513672
30,712.0,0.7022883892059326
31,757.5,0.6902644634246826
32,756.0,0.613501787185669
33,626.75,0.6116535663604736
34,653.75,0.6086432933807373
35,617.25,0.6002671718597412
36,710.75,0.6134324073791504
37,718.25,0.6060178279876709
38,802.25,0.6184277534484863
39,733.0,0.5965530872344971
40,721.5,0.6024425029754639
41,767.0,0.6114799976348877
42,734.0,0.6082801818847656
43,722.25,0.6072282791137695
44,731.5,0.6078910827636719
45,588.0,0.5999593734741211
46,730.0,0.610764741897583
47,710.0,0.6171767711639404
48,818.0,0.6032085418701172
49,812.25,0.618154764175415
