Instance,Makespan,all_time,solve_time,solve_status
0,1786.75,615.4132897853851,615.412410736084,FEASIBLE
1,1867.75,615.457971572876,615.4569418430328,FEASIBLE
2,1808.5,616.4539659023285,616.4529807567596,FEASIBLE
3,1699.5,617.478164434433,617.4771018028259,FEASIBLE
4,1747.5,613.3579685688019,613.3568546772003,FEASIBLE
5,1805.5,616.2262344360352,616.2251217365265,FEASIBLE
6,1741.75,613.2949593067169,613.2937896251678,FEASIBLE
7,1731.5,616.0338785648346,616.0326824188232,FEASIBLE
8,1805.0,615.5980820655823,615.5969412326813,FEASIBLE
9,1728.25,614.3173279762268,614.3161888122559,FEASIBLE
10,1915.5,617.1811945438385,617.1800606250763,FEASIBLE
11,1883.75,620.474543094635,620.473387002945,FEASIBLE
12,1915.0,621.1319658756256,621.130900144577,FEASIBLE
13,1768.25,619.7583138942719,619.7571635246277,FEASIBLE
14,1809.5,621.8281757831573,621.8270378112793,FEASIBLE
15,1724.5,616.5696849822998,616.56866979599,FEASIBLE
16,1764.0,614.539647102356,614.5385370254517,FEASIBLE
17,1817.25,612.9324779510498,612.9313941001892,FEASIBLE
18,1900.5,613.4731907844543,613.4440014362335,FEASIBLE
19,1852.25,614.738306760788,614.7372436523438,FEASIBLE
20,1823.75,615.5782949924469,615.5772688388824,FEASIBLE
21,1777.75,618.5744371414185,618.5733749866486,FEASIBLE
22,1817.5,615.0824375152588,615.0813663005829,FEASIBLE
23,1898.75,615.8830873966217,615.8819499015808,FEASIBLE
24,1794.5,616.3512306213379,616.3500556945801,FEASIBLE
25,1808.5,614.2583208084106,614.2572448253632,FEASIBLE
26,1910.5,615.1339046955109,615.1328203678131,FEASIBLE
27,1802.5,614.7583465576172,614.7572832107544,FEASIBLE
28,1705.75,613.4901957511902,613.4890682697296,FEASIBLE
29,1739.25,613.7236545085907,613.7225255966187,FEASIBLE
30,1753.0,613.810079574585,613.808896780014,FEASIBLE
31,1782.25,612.640602350235,612.6395137310028,FEASIBLE
32,1889.0,610.4982750415802,610.4971117973328,FEASIBLE
33,1712.75,613.0245611667633,613.0235285758972,FEASIBLE
34,2034.25,614.4115266799927,614.4103806018829,FEASIBLE
35,1784.0,615.6486773490906,615.6475167274475,FEASIBLE
36,1918.75,617.9387726783752,617.8736023902893,FEASIBLE
37,1848.25,616.3641629219055,616.3629922866821,FEASIBLE
38,1901.75,615.8343777656555,615.8332118988037,FEASIBLE
39,1906.25,615.4465458393097,615.4454388618469,FEASIBLE
40,1719.75,615.5785112380981,615.5773458480835,FEASIBLE
41,1738.75,614.3161451816559,614.3149480819702,FEASIBLE
42,1742.0,607.866664648056,607.8659307956696,FEASIBLE
43,1787.5,612.9339823722839,612.9329280853271,FEASIBLE
44,1761.25,607.1456282138824,607.1446731090546,FEASIBLE
45,1749.0,603.6601626873016,603.659126996994,FEASIBLE
46,1809.25,604.3816621303558,604.3800799846649,FEASIBLE
47,1687.25,602.1419808864594,602.1408777236938,FEASIBLE
48,1559.0,601.369472026825,601.3685121536255,FEASIBLE
49,1718.25,603.1423790454865,603.1414813995361,FEASIBLE
