Instance,Makespan,all_time,solve_time,solve_status
0,1924.5,610.9474701881409,610.9465370178223,FEASIBLE
1,2121.75,611.7643649578094,611.7631895542145,FEASIBLE
2,2030.75,608.4408040046692,608.4396255016327,FEASIBLE
3,2141.0,610.4723472595215,610.4707152843475,FEASIBLE
4,2112.0,607.6301035881042,607.6287603378296,FEASIBLE
5,1969.5,610.8441450595856,610.8425307273865,FEASIBLE
6,1963.75,611.2411785125732,611.2399687767029,FEASIBLE
7,2163.0,606.9663181304932,606.9650230407715,FEASIBLE
8,2057.5,609.9558112621307,609.9542100429535,FEASIBLE
9,2060.0,613.1618595123291,613.1605975627899,FEASIBLE
10,2278.25,610.0561532974243,610.054655790329,FEASIBLE
11,2183.25,613.8898501396179,613.8886198997498,FEASIBLE
12,2033.5,614.8497788906097,614.8486368656158,FEASIBLE
13,2101.0,613.1430997848511,613.1418106555939,FEASIBLE
14,1964.75,128.23098731040955,128.22974634170532,OPTIMAL
15,2090.0,612.1144371032715,612.1132922172546,FEASIBLE
16,2055.5,359.3707900047302,359.3693435192108,OPTIMAL
17,1980.5,611.7913775444031,611.7900550365448,FEASIBLE
18,2064.5,610.1933581829071,610.192066192627,FEASIBLE
19,2106.75,618.0938675403595,618.0926115512848,FEASIBLE
20,2127.25,611.6600487232208,611.6586108207703,FEASIBLE
21,1914.0,612.9154598712921,612.8862607479095,FEASIBLE
22,2095.75,607.3885793685913,607.3872978687286,FEASIBLE
23,2168.75,607.2729530334473,607.2716569900513,FEASIBLE
24,2012.25,607.6740455627441,607.6727232933044,FEASIBLE
25,1987.0,609.7708520889282,609.7695758342743,FEASIBLE
26,2156.0,613.9261338710785,613.9248859882355,FEASIBLE
27,2058.25,613.6686837673187,613.6675047874451,FEASIBLE
28,2095.75,610.4220411777496,610.4207301139832,FEASIBLE
29,2249.5,617.5271649360657,617.5258996486664,FEASIBLE
30,2190.75,614.4175684452057,614.4161858558655,FEASIBLE
31,2018.0,58.80619812011719,58.80492043495178,OPTIMAL
32,2153.0,606.6057329177856,606.6044631004333,FEASIBLE
33,2077.75,613.628791809082,613.6276845932007,FEASIBLE
34,2013.0,616.5745294094086,616.5732398033142,FEASIBLE
35,2201.25,616.7032141685486,616.7017917633057,FEASIBLE
36,1924.75,614.6867525577545,614.6854300498962,FEASIBLE
37,2116.0,613.3224239349365,613.3212521076202,FEASIBLE
38,2129.75,613.6706786155701,613.6694912910461,FEASIBLE
39,1987.75,447.9782917499542,447.9766445159912,OPTIMAL
40,2074.25,612.3320753574371,612.3307831287384,FEASIBLE
41,2123.75,612.4596626758575,612.4583718776703,FEASIBLE
42,1948.0,614.338564157486,614.3372595310211,FEASIBLE
43,2072.75,612.1241846084595,612.1229286193848,FEASIBLE
44,2167.75,612.1185510158539,612.1173090934753,FEASIBLE
45,2035.25,606.8423068523407,606.8413903713226,FEASIBLE
46,1958.75,21.391189336776733,21.389989852905273,OPTIMAL
47,2006.25,612.794536113739,612.7932538986206,FEASIBLE
48,2115.5,565.2040579319,565.2028205394745,OPTIMAL
49,1869.75,605.7610206604004,605.7595958709717,FEASIBLE
