Instance,spt,spt_time
0,3496.25,0.006180524826049805
1,4032.0,0.006048440933227539
2,3937.75,0.006024360656738281
3,3655.25,0.005708932876586914
4,3004.75,0.006059408187866211
5,3576.25,0.006287574768066406
6,3626.75,0.005992889404296875
7,3728.5,0.005774021148681641
8,3351.0,0.005854129791259766
9,3867.75,0.005922079086303711
10,3343.5,0.005808830261230469
11,3490.75,0.0057888031005859375
12,4439.5,0.005727291107177734
13,4110.25,0.005807638168334961
14,3087.5,0.005988597869873047
15,3925.5,0.005850791931152344
16,3793.5,0.005838871002197266
17,3528.25,0.005985260009765625
18,3088.75,0.005844831466674805
19,3481.75,0.0061588287353515625
20,3472.0,0.005883216857910156
21,3393.0,0.006012439727783203
22,3064.0,0.005894184112548828
23,3880.25,0.005979776382446289
24,3697.0,0.005942821502685547
25,3266.0,0.005995273590087891
26,3244.5,0.005953073501586914
27,4550.25,0.005815982818603516
28,2888.5,0.005978107452392578
29,3205.75,0.006089925765991211
30,3381.75,0.006022453308105469
31,3382.0,0.0060193538665771484
32,3491.5,0.0060977935791015625
33,3450.25,0.006129264831542969
34,3271.75,0.005855083465576172
35,3775.75,0.006020545959472656
36,3467.25,0.0059206485748291016
37,3178.5,0.0059888362884521484
38,3845.0,0.005868673324584961
39,3157.0,0.006109714508056641
40,3353.5,0.005953788757324219
41,3339.75,0.006082057952880859
42,3080.25,0.006011486053466797
43,3914.75,0.006049156188964844
44,3292.0,0.0059278011322021484
45,3891.25,0.00593113899230957
46,3648.25,0.006032466888427734
47,4007.5,0.005908966064453125
48,3806.75,0.006037712097167969
49,3319.25,0.00593256950378418
Average,3545.615,0.005961928367614746
