Instance,spt,spt_time,mwkr,mwkr_time,mor,mor_time,lpt,lpt_time,lifo,lifo_time,lor,lor_time,fifo,fifo_time
0,2335.75,0.0039479732513427734,4554.5,0.012452125549316406,4127.5,0.010874509811401367,2771.25,0.0037581920623779297,3663.5,0.003728628158569336,4239.75,0.010665178298950195,1531.5,0.004332304000854492
1,3467.25,0.0038688182830810547,4420.5,0.012196779251098633,4766.25,0.0114593505859375,3004.75,0.0038487911224365234,4821.5,0.0036547183990478516,4344.5,0.010541677474975586,1458.75,0.004253387451171875
2,2615.25,0.0038673877716064453,4719.25,0.012590169906616211,5347.75,0.01183629035949707,3950.25,0.0037615299224853516,4618.5,0.0037567615509033203,5217.0,0.011039972305297852,1468.0,0.004369258880615234
3,3316.5,0.0038008689880371094,3250.0,0.012994050979614258,4497.25,0.04206085205078125,2980.5,0.0038819313049316406,4517.25,0.0037605762481689453,4261.0,0.010961771011352539,1649.25,0.004279375076293945
4,2607.25,0.0038232803344726562,4220.5,0.011917829513549805,4209.5,0.011560201644897461,3071.5,0.003860950469970703,4138.75,0.0037431716918945312,4741.5,0.011531352996826172,1409.5,0.00432133674621582
5,2787.75,0.0037689208984375,5007.0,0.012776851654052734,3947.25,0.010591268539428711,3118.75,0.003733396530151367,4152.25,0.0037262439727783203,4116.0,0.010442256927490234,1667.0,0.00429987907409668
6,3252.5,0.0040454864501953125,4391.5,0.01229715347290039,4289.0,0.011150836944580078,2367.25,0.003829479217529297,4416.0,0.003708362579345703,4351.5,0.011037111282348633,1426.75,0.0042760372161865234
7,3410.25,0.0036728382110595703,4069.75,0.012275934219360352,5236.25,0.011589765548706055,3431.5,0.0037729740142822266,5182.5,0.0036766529083251953,5182.5,0.010581493377685547,1673.75,0.0043087005615234375
8,2983.5,0.003670930862426758,4484.25,0.012830495834350586,4142.5,0.011516094207763672,2814.25,0.003879070281982422,4565.5,0.003799915313720703,4253.5,0.010791540145874023,1694.0,0.036203861236572266
9,2609.5,0.0038623809814453125,4637.5,0.012523651123046875,4606.25,0.011484384536743164,3370.5,0.003874063491821289,4048.0,0.0036208629608154297,3981.0,0.010591983795166016,1632.75,0.004288673400878906
10,2905.5,0.003699064254760742,4191.5,0.012576818466186523,4248.0,0.011582612991333008,3335.25,0.0037603378295898438,4400.25,0.0036954879760742188,4391.75,0.010603189468383789,1375.25,0.0042154788970947266
11,2507.0,0.0037071704864501953,4038.0,0.01273488998413086,4500.75,0.011458873748779297,3261.25,0.0037903785705566406,4910.0,0.0036695003509521484,4997.25,0.010757923126220703,1480.75,0.004292011260986328
12,3188.75,0.0038347244262695312,3983.5,0.012714385986328125,3938.75,0.01135110855102539,3788.25,0.0037696361541748047,5263.5,0.003598928451538086,5227.5,0.010498762130737305,1477.5,0.004259347915649414
13,3012.25,0.0037348270416259766,4348.5,0.012762784957885742,3389.75,0.010318756103515625,3255.75,0.0037338733673095703,3699.75,0.0035512447357177734,3699.75,0.010084390640258789,1451.0,0.004308462142944336
14,3940.0,0.0036940574645996094,4144.5,0.012895822525024414,4345.75,0.01158905029296875,3243.75,0.0039000511169433594,3821.25,0.0037696361541748047,4321.5,0.01050114631652832,1470.0,0.004243612289428711
15,3500.25,0.0037183761596679688,5116.25,0.013068199157714844,4360.75,0.011748075485229492,3136.25,0.0038933753967285156,4725.75,0.003757953643798828,4656.75,0.010968446731567383,1560.75,0.004285097122192383
16,3005.0,0.003918647766113281,4893.25,0.01228475570678711,3777.0,0.011623859405517578,3031.75,0.003835916519165039,3884.0,0.003778696060180664,4077.5,0.01106572151184082,1611.75,0.004365205764770508
17,2664.0,0.003904104232788086,4557.75,0.012985944747924805,3910.25,0.010706424713134766,3231.5,0.003838062286376953,3962.5,0.003766775131225586,3820.75,0.011000633239746094,1560.75,0.004301309585571289
18,2772.25,0.0037720203399658203,4988.25,0.01237940788269043,4214.75,0.01137542724609375,2368.5,0.003877401351928711,4455.5,0.0037496089935302734,4569.5,0.010439157485961914,1632.25,0.004313468933105469
19,2639.75,0.0037043094635009766,4944.0,0.013658761978149414,5021.75,0.011046171188354492,3317.5,0.0037164688110351562,4770.75,0.0037055015563964844,4706.75,0.010313987731933594,1589.25,0.004303693771362305
20,3157.5,0.003709077835083008,4293.25,0.01222681999206543,4921.0,0.011301755905151367,4257.75,0.003807544708251953,4196.0,0.0036983489990234375,4049.75,0.009894371032714844,1547.0,0.004341602325439453
21,3078.0,0.0036919116973876953,5566.5,0.012431859970092773,4919.5,0.011163949966430664,2897.25,0.003919839859008789,5532.75,0.003606081008911133,5419.0,0.01017141342163086,1787.0,0.004259586334228516
22,2620.0,0.003758668899536133,4016.0,0.011979818344116211,4864.25,0.011244058609008789,3908.75,0.003686189651489258,4869.5,0.0036857128143310547,5139.25,0.01052999496459961,1688.25,0.004251003265380859
23,3429.0,0.00374603271484375,5220.25,0.012362003326416016,4852.0,0.01132965087890625,2925.25,0.003612995147705078,5046.5,0.003694772720336914,5152.75,0.010204076766967773,1625.75,0.004300594329833984
24,3161.5,0.0037584304809570312,4481.25,0.01208639144897461,4016.75,0.011374473571777344,4401.5,0.003702402114868164,3873.0,0.0038268566131591797,3683.25,0.010251522064208984,1528.5,0.00435948371887207
25,2825.25,0.0036749839782714844,4501.75,0.012476205825805664,5462.5,0.011428356170654297,3388.0,0.0038034915924072266,4589.5,0.003785848617553711,4666.5,0.010478019714355469,1622.0,0.004386186599731445
26,3542.0,0.003674030303955078,4218.25,0.012552261352539062,5040.5,0.011725425720214844,3676.5,0.003765583038330078,3969.0,0.0036351680755615234,4446.75,0.01032114028930664,1733.75,0.004298210144042969
27,2965.75,0.0037348270416259766,3567.75,0.012898683547973633,4484.75,0.011510372161865234,3093.75,0.003656148910522461,3906.0,0.0037305355072021484,4274.75,0.010505437850952148,1375.75,0.004285097122192383
28,2752.25,0.003716707229614258,4311.5,0.012757539749145508,3792.25,0.010776996612548828,3533.75,0.0036721229553222656,4775.25,0.0037794113159179688,5158.0,0.010237693786621094,1492.0,0.0043201446533203125
29,3137.0,0.003751516342163086,5016.25,0.012853622436523438,5296.25,0.011270761489868164,3611.25,0.0037522315979003906,4730.75,0.0037789344787597656,4794.25,0.010379552841186523,1576.25,0.004320859909057617
30,3040.5,0.0038564205169677734,3948.75,0.012651920318603516,4863.75,0.011475563049316406,3092.5,0.0037789344787597656,4528.0,0.0037271976470947266,4052.75,0.010760068893432617,1566.0,0.004286527633666992
31,2630.0,0.003824949264526367,5349.0,0.012969493865966797,4800.0,0.011553764343261719,2951.25,0.00392913818359375,3684.0,0.0037467479705810547,3758.75,0.010738849639892578,1631.0,0.004258155822753906
32,3381.0,0.003741025924682617,4987.25,0.011623859405517578,4616.5,0.011420488357543945,3129.0,0.0036449432373046875,4650.25,0.0035424232482910156,4660.0,0.010625600814819336,1579.75,0.004316806793212891
33,2797.25,0.0037708282470703125,3838.5,0.01304006576538086,3797.0,0.011398077011108398,3483.25,0.0037131309509277344,4177.0,0.003653287887573242,3781.5,0.010393619537353516,1432.5,0.004301548004150391
34,3408.5,0.0036668777465820312,3157.75,0.012576818466186523,4641.0,0.011528491973876953,3308.25,0.003791332244873047,4269.5,0.0036780834197998047,4285.0,0.011000633239746094,1639.0,0.004341840744018555
35,3739.25,0.003817319869995117,4186.0,0.012936830520629883,4439.0,0.011574983596801758,3193.75,0.0036971569061279297,4303.0,0.0037174224853515625,4538.5,0.01088094711303711,1541.25,0.004303932189941406
36,3353.0,0.003897428512573242,4818.75,0.012544393539428711,4823.5,0.011545419692993164,4601.0,0.003560781478881836,4346.5,0.0037446022033691406,4589.0,0.010707378387451172,1568.0,0.00426030158996582
37,3519.5,0.003641843795776367,4087.25,0.012193679809570312,3478.25,0.01064610481262207,2559.5,0.003944873809814453,4959.25,0.0036215782165527344,5049.5,0.010868310928344727,1711.5,0.004277944564819336
38,2803.25,0.003776073455810547,4281.25,0.012542724609375,4148.0,0.011183738708496094,3468.25,0.0038607120513916016,4466.5,0.003761768341064453,4210.5,0.01054835319519043,1634.75,0.004319429397583008
39,3328.0,0.0037581920623779297,4537.25,0.01237034797668457,4552.5,0.011512994766235352,3075.75,0.003789663314819336,3871.75,0.0036144256591796875,3721.5,0.010085821151733398,1583.25,0.0043637752532958984
40,2724.25,0.003775358200073242,3820.25,0.012596845626831055,4388.5,0.010896921157836914,2661.0,0.003832578659057617,4630.25,0.003680706024169922,4785.0,0.010390281677246094,1820.25,0.004257917404174805
41,3206.25,0.003900766372680664,4761.75,0.012848377227783203,3705.0,0.011614799499511719,3278.75,0.003773927688598633,4298.75,0.003704071044921875,4586.75,0.010978460311889648,1516.25,0.004226207733154297
42,3148.75,0.0037796497344970703,4575.5,0.013273477554321289,3990.75,0.010945796966552734,3946.25,0.0037012100219726562,4583.0,0.003705263137817383,4660.5,0.010745525360107422,1550.25,0.0042760372161865234
43,2384.75,0.0038013458251953125,4251.5,0.01232457160949707,4249.25,0.011422872543334961,3151.75,0.003904581069946289,4168.75,0.0037963390350341797,4110.5,0.010271549224853516,1467.0,0.004333972930908203
44,3373.25,0.0037851333618164062,3786.0,0.012718915939331055,4161.25,0.011277198791503906,3074.25,0.003818988800048828,4306.0,0.0038056373596191406,4189.25,0.010533332824707031,1654.5,0.0043544769287109375
45,3385.5,0.0038614273071289062,4123.75,0.012963294982910156,4344.75,0.010907411575317383,3218.5,0.0038557052612304688,3713.75,0.0036468505859375,3670.5,0.009827136993408203,1592.25,0.0042378902435302734
46,3093.25,0.0038442611694335938,4764.0,0.012102365493774414,5657.0,0.011199951171875,3271.25,0.0037102699279785156,4309.75,0.0037338733673095703,4552.5,0.010277271270751953,1585.5,0.004253387451171875
47,2998.0,0.0038199424743652344,4306.25,0.01287984848022461,3545.25,0.011007547378540039,3296.75,0.0037124156951904297,5167.25,0.003726482391357422,5391.75,0.010580301284790039,1501.75,0.004336833953857422
48,3357.5,0.0036745071411132812,3964.0,0.012877941131591797,3399.75,0.011317253112792969,3591.5,0.0036776065826416016,4156.75,0.0037679672241210938,4243.75,0.010268688201904297,1565.25,0.004365444183349609
49,2817.5,0.003678560256958008,5056.5,0.012576818466186523,4912.25,0.01216745376586914,2877.75,0.003830432891845703,4572.0,0.003859281539916992,5026.0,0.011217355728149414,1722.25,0.00433039665222168
Average,3053.555,0.003778085708618164,4415.085,0.012603092193603515,4420.8,0.011932930946350097,3275.485,0.0037844562530517578,4413.345,0.003713498115539551,4476.1,0.010581808090209961,1573.18,0.004938921928405762
